count,datetime
16,2011-01-20 16:00:00
40,2011-01-21 16:00:00
32,2011-01-21 08:00:00
13,2011-01-20 13:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
2,2011-01-20 02:00:00
3,2011-01-20 03:00:00
8,2011-01-20 08:00:00
14,2011-01-20 14:00:00
36,2011-01-21 12:00:00
56,2011-01-22 09:00:00
84,2011-01-23 14:00:00
94,2011-01-24 00:00:00
106,2011-01-24 13:00:00
110,2011-01-24 17:00:00
93,2011-01-23 23:00:00
67,2011-01-22 20:00:00
35,2011-01-21 11:00:00
37,2011-01-21 13:00:00
36,2011-01-21 12:00:00
34,2011-01-21 10:00:00
28,2011-01-21 04:00:00
39,2011-01-21 15:00:00
17,2011-01-20 17:00:00
17,2011-01-20 17:00:00
9,2011-01-20 09:00:00
6,2011-01-20 06:00:00
3,2011-01-20 03:00:00
2,2011-01-20 02:00:00
1,2011-01-20 01:00:00
8,2011-01-20 08:00:00
20,2011-01-20 20:00:00
53,2011-01-22 06:00:00
70,2011-01-22 23:00:00
93,2011-01-23 23:00:00
75,2011-01-23 05:00:00
59,2011-01-22 12:00:00
74,2011-01-23 03:00:00
76,2011-01-23 06:00:00
65,2011-01-22 18:00:00
53,2011-01-22 06:00:00
30,2011-01-21 06:00:00
22,2011-01-20 22:00:00
31,2011-01-21 07:00:00
9,2011-01-20 09:00:00
8,2011-01-20 08:00:00
5,2011-01-20 05:00:00
2,2011-01-20 02:00:00
1,2011-01-20 01:00:00
3,2011-01-20 03:00:00
30,2011-01-21 06:00:00
64,2011-01-22 17:00:00
154,2011-01-26 16:00:00
88,2011-01-23 18:00:00
44,2011-01-21 20:00:00
51,2011-01-22 03:00:00
61,2011-01-22 14:00:00
61,2011-01-22 14:00:00
77,2011-01-23 07:00:00
72,2011-01-23 01:00:00
76,2011-01-23 06:00:00
157,2011-01-27 17:00:00
157,2011-01-27 17:00:00
110,2011-01-24 17:00:00
52,2011-01-22 04:00:00
52,2011-01-22 04:00:00
20,2011-01-20 20:00:00
12,2011-01-20 12:00:00
5,2011-01-20 05:00:00
2,2011-01-20 02:00:00
1,2011-01-20 01:00:00
2,2011-01-20 02:00:00
4,2011-01-20 04:00:00
36,2011-01-21 12:00:00
94,2011-01-24 00:00:00
179,2011-01-28 16:00:00
100,2011-01-24 07:00:00
42,2011-01-21 18:00:00
57,2011-01-22 10:00:00
78,2011-01-23 08:00:00
97,2011-01-24 04:00:00
63,2011-01-22 16:00:00
65,2011-01-22 18:00:00
83,2011-01-23 13:00:00
212,2011-01-30 02:00:00
182,2011-01-28 19:00:00
112,2011-01-24 19:00:00
54,2011-01-22 07:00:00
48,2011-01-22 00:00:00
35,2011-01-21 11:00:00
11,2011-01-20 11:00:00
6,2011-01-20 06:00:00
6,2011-01-20 06:00:00
2,2011-01-20 02:00:00
2,2011-01-20 02:00:00
3,2011-01-20 03:00:00
33,2011-01-21 09:00:00
88,2011-01-23 18:00:00
195,2011-01-29 09:00:00
115,2011-01-24 22:00:00
57,2011-01-22 10:00:00
46,2011-01-21 22:00:00
79,2011-01-23 09:00:00
71,2011-01-23 00:00:00
62,2011-01-22 15:00:00
62,2011-01-22 15:00:00
89,2011-01-23 19:00:00
190,2011-01-29 03:00:00
169,2011-01-28 06:00:00
132,2011-01-25 16:00:00
89,2011-01-23 19:00:00
43,2011-01-21 19:00:00
42,2011-01-21 18:00:00
19,2011-01-20 19:00:00
11,2011-01-20 11:00:00
4,2011-01-20 04:00:00
2,2011-01-20 02:00:00
1,2011-01-20 01:00:00
4,2011-01-20 04:00:00
36,2011-01-21 12:00:00
95,2011-01-24 01:00:00
219,2011-01-30 10:00:00
122,2011-01-25 06:00:00
45,2011-01-21 21:00:00
59,2011-01-22 12:00:00
84,2011-01-23 14:00:00
67,2011-01-22 20:00:00
70,2011-01-22 23:00:00
62,2011-01-22 15:00:00
86,2011-01-23 16:00:00
172,2011-01-28 09:00:00
163,2011-01-27 23:00:00
112,2011-01-24 19:00:00
69,2011-01-22 22:00:00
48,2011-01-22 00:00:00
52,2011-01-22 04:00:00
23,2011-01-20 23:00:00
17,2011-01-20 17:00:00
7,2011-01-20 07:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
5,2011-01-20 05:00:00
34,2011-01-21 10:00:00
84,2011-01-23 14:00:00
210,2011-01-30 00:00:00
134,2011-01-25 18:00:00
63,2011-01-22 16:00:00
67,2011-01-22 20:00:00
59,2011-01-22 12:00:00
73,2011-01-23 02:00:00
50,2011-01-22 02:00:00
72,2011-01-23 01:00:00
87,2011-01-23 17:00:00
187,2011-01-29 00:00:00
123,2011-01-25 07:00:00
95,2011-01-24 01:00:00
51,2011-01-22 03:00:00
39,2011-01-21 15:00:00
36,2011-01-21 12:00:00
15,2011-01-20 15:00:00
25,2011-01-21 01:00:00
16,2011-01-20 16:00:00
16,2011-01-20 16:00:00
7,2011-01-20 07:00:00
1,2011-01-20 01:00:00
5,2011-01-20 05:00:00
2,2011-01-20 02:00:00
9,2011-01-20 09:00:00
15,2011-01-20 15:00:00
20,2011-01-20 20:00:00
61,2011-01-22 14:00:00
62,2011-01-22 15:00:00
98,2011-01-24 05:00:00
102,2011-01-24 09:00:00
95,2011-01-24 01:00:00
74,2011-01-23 03:00:00
76,2011-01-23 06:00:00
69,2011-01-22 22:00:00
55,2011-01-22 08:00:00
30,2011-01-21 06:00:00
28,2011-01-21 04:00:00
37,2011-01-21 13:00:00
34,2011-01-21 10:00:00
22,2011-01-20 22:00:00
25,2011-01-21 01:00:00
12,2011-01-20 12:00:00
11,2011-01-20 11:00:00
4,2011-01-20 04:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
6,2011-01-20 06:00:00
10,2011-01-20 10:00:00
19,2011-01-20 19:00:00
49,2011-01-22 01:00:00
49,2011-01-22 01:00:00
83,2011-01-23 13:00:00
75,2011-01-23 05:00:00
72,2011-01-23 01:00:00
82,2011-01-23 12:00:00
92,2011-01-23 22:00:00
62,2011-01-22 15:00:00
48,2011-01-22 00:00:00
41,2011-01-21 17:00:00
38,2011-01-21 14:00:00
20,2011-01-20 20:00:00
15,2011-01-20 15:00:00
6,2011-01-20 06:00:00
5,2011-01-20 05:00:00
1,2011-01-20 01:00:00
3,2011-01-20 03:00:00
1,2011-01-20 01:00:00
3,2011-01-20 03:00:00
3,2011-01-20 03:00:00
31,2011-01-21 07:00:00
77,2011-01-23 07:00:00
188,2011-01-29 01:00:00
94,2011-01-24 00:00:00
31,2011-01-21 07:00:00
30,2011-01-21 06:00:00
52,2011-01-22 04:00:00
54,2011-01-22 07:00:00
47,2011-01-21 23:00:00
45,2011-01-21 21:00:00
74,2011-01-23 03:00:00
178,2011-01-28 15:00:00
155,2011-01-26 17:00:00
95,2011-01-24 01:00:00
74,2011-01-23 03:00:00
38,2011-01-21 14:00:00
24,2011-01-21 00:00:00
18,2011-01-20 18:00:00
12,2011-01-20 12:00:00
3,2011-01-20 03:00:00
3,2011-01-20 03:00:00
6,2011-01-20 06:00:00
27,2011-01-21 03:00:00
99,2011-01-24 06:00:00
217,2011-01-30 08:00:00
130,2011-01-25 14:00:00
54,2011-01-22 07:00:00
35,2011-01-21 11:00:00
57,2011-01-22 10:00:00
52,2011-01-22 04:00:00
63,2011-01-22 16:00:00
47,2011-01-21 23:00:00
76,2011-01-23 06:00:00
136,2011-01-25 20:00:00
95,2011-01-24 01:00:00
51,2011-01-22 03:00:00
32,2011-01-21 08:00:00
20,2011-01-20 20:00:00
29,2011-01-21 05:00:00
19,2011-01-20 19:00:00
7,2011-01-20 07:00:00
6,2011-01-20 06:00:00
1,2011-01-20 01:00:00
5,2011-01-20 05:00:00
16,2011-01-20 16:00:00
54,2011-01-22 07:00:00
128,2011-01-25 12:00:00
81,2011-01-23 11:00:00
39,2011-01-21 15:00:00
35,2011-01-21 11:00:00
55,2011-01-22 08:00:00
49,2011-01-22 01:00:00
44,2011-01-21 20:00:00
49,2011-01-22 01:00:00
68,2011-01-22 21:00:00
139,2011-01-25 23:00:00
137,2011-01-25 21:00:00
83,2011-01-23 13:00:00
56,2011-01-22 09:00:00
57,2011-01-22 10:00:00
33,2011-01-21 09:00:00
20,2011-01-20 20:00:00
7,2011-01-20 07:00:00
2,2011-01-20 02:00:00
2,2011-01-20 02:00:00
3,2011-01-20 03:00:00
4,2011-01-20 04:00:00
3,2011-01-20 03:00:00
28,2011-01-21 04:00:00
72,2011-01-23 01:00:00
202,2011-01-29 16:00:00
139,2011-01-25 23:00:00
38,2011-01-21 14:00:00
37,2011-01-21 13:00:00
52,2011-01-22 04:00:00
83,2011-01-23 13:00:00
42,2011-01-21 18:00:00
60,2011-01-22 13:00:00
78,2011-01-23 08:00:00
162,2011-01-27 22:00:00
144,2011-01-26 06:00:00
99,2011-01-24 06:00:00
64,2011-01-22 17:00:00
40,2011-01-21 16:00:00
30,2011-01-21 06:00:00
15,2011-01-20 15:00:00
14,2011-01-20 14:00:00
5,2011-01-20 05:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
8,2011-01-20 08:00:00
17,2011-01-20 17:00:00
70,2011-01-22 23:00:00
158,2011-01-27 18:00:00
117,2011-01-25 00:00:00
44,2011-01-21 20:00:00
53,2011-01-22 06:00:00
61,2011-01-22 14:00:00
77,2011-01-23 07:00:00
64,2011-01-22 17:00:00
68,2011-01-22 21:00:00
90,2011-01-23 20:00:00
159,2011-01-27 19:00:00
139,2011-01-25 23:00:00
92,2011-01-23 22:00:00
68,2011-01-22 21:00:00
52,2011-01-22 04:00:00
36,2011-01-21 12:00:00
27,2011-01-21 03:00:00
28,2011-01-21 04:00:00
20,2011-01-20 20:00:00
12,2011-01-20 12:00:00
